"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"SafeSense Bed Exit System";"wissner-bosserhoff GmbH";"SafeSense ist ein Bettausstieg-Assistenzsystem, das unter der Matratze passt und mit verschiedenen Betttypen kompatibel ist. Es verfügt über eine LED-Nachtlicht-Automatik, die den Weg zum nächtlichen Toilettengang beleuchtet und sich beim Verlassen des Bettes automatisch aktiviert. Bei der Rückkehr erlischt es. ";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-22";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen; Sich verlaufen";"Sieht Hindernisse nicht gut; Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder; Lichtsteuerung";"Stürzen; Sich verlaufen";"";"1015";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"ACTILOG Bed Exit";"Gemtec AG";"Das ACTILOG Bed Exit ist ein intelligentes Alarmsystem für sturzgefährdete Personen. Es wird unter Wechseldruckmatratzen angebracht, ist mit jedem Bett kompatibel und batteriebetrieben. Es sendet zuverlässig Funkalarme beim Verlassen des Bettes, unabhängig von der Seite, und ermöglicht auch Aufstehalarme. Ideal zur Nachrüstung.";"Auf Anfrage";"";"";"Online-Shops";"2025-05-22";"";"Nein";"Batterien";"Einfach umrüstbar";"Ja";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1017";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"Telemat Sensormatte";"Gemtec AG";"Telemat ist eine druckempfindliche Sensormatte, die über Easywave-Funk mit einem Rufanlagenadapter verbunden wird. Ähnlich wie ein Ruftaster wird sie an die Lichtrufanlage des Hauses angeschlossen. Wenn die pflegebedürftige Person das Bett verlässt und auf die Telemat tritt, löst die Sensormatte über die Rufanlage einen Alarm aus.";"301-500 €";"Nein";"";"Online-Shops";"2025-05-22";"";"Nein";"Batterien";"Einfach umrüstbar";"Ja";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1018";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"PROVINOXX";"Acticom AG";"Provinoxx reduziert das Sturz- und Orientierungsrisiko von Bewohnern in Alten- und Pflegeheimen sowie Krankenhäusern. Die Sensortechnologie löst beim Verlassen des Bettes einen Alarm über die Rufanlage aus, ideal für demente und sturzgefährdete Personen. Flexibler Einsatz durch drahtloses Funksystem.";"Auf Anfrage";"";"";"Online-Shops";"2025-05-22";"";"Nein";"Batterien";"Einfach umrüstbar";"Nein";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1019";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"Bucinator PAULUS +";"Explorer GmbH";"Bucinator PAULUS, ein mobiles System, bietet eine zuverlässige und benutzerfreundliche Frühwarnung beim Verlassen des Bettes. Es wird unter der Matratze platziert und informiert das Pflegepersonal über eine Rufanlage oder einen Steckdosenempfänger über das Verlassen des Bettes. Im Vergleich zu Sensormatten löst es früher Alarm aus und spart wertvolle Zeit.";"über 500 €";"";"";"Hersteller-Website";"2025-05-22";"ELDAT; Lehmann; 2PCS; Gets; Smart Liberty; Tetronik";"Nein";"Batterien";"Einfach umrüstbar";"Ja";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1020";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"Beurer DM 20 Trinkmanager";"Beurer GmbH";"Ein kompakter und smarter Begleiter überwacht die Flüssigkeitszufuhr. Die Flachwaage verbindet sich via Bluetooth mit der kostenlosen Beurer HealthManager App, die individuelle Trinkpläne ermöglicht. Farbige LED-Leuchten und ein akustisches Signal erinnern an das Trinken. Geeignet für verschiedene Behältergrößen bis zu 3 kg hilft sie, das Trinkverhalten zu analysieren und zu verbessern.";"1-50 €";"";"";"Online-Shops";"2025-05-22";"";"Ja";"Akku, aufladbar";"Beweglich";"Nein";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"";"1004";"Hardware + Software";"Ja";"Bluetooth";"";"Aktiv"
"CareMat";"BBC Bircher Smart Access";"Die CareMat kann vor dem Bett oder der Tür platziert und mit der Lichtrufanlage per Funk oder Kabel verbunden werden. Betritt jemand die Matte, sendet sie ein Signal zur Betreuungsperson. Damit werden Sturzgefahren aufgrund von Weglaufen oder Demenz deutlich reduziert.";"über 500 €";"";"";"meta-care GmbH";"2025-05-22";"TeleAlarm; ELDAT; Lehmann electronic";"Nicht ermittelbar";"Netzbetrieb";"Beweglich";"Ja";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1022";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"Neviscura Bettsensor";"nevisQ GmbH";"Der Bettsensor nevisCura erleichtert die Arbeit des Pflegepersonals. Er analysiert zuverlässig den Bereich vor dem Bett, erkennt Bewohner und Bettdecke, meldet vorzeitiges Aufstehen und erkennt Pflegepersonal/Besucher. Einfach zu installieren und kompatibel mit gängigen Rufsystemen.";"301-500 €";"";"";"Hersteller-Website";"2025-05-22";"";"Nein";"Netzbetrieb";"Einfach umrüstbar";"Ja";"Stürzen; Sich verlaufen";"Findet nicht zurück nach Hause; Verlässt unbemerkt die Wohnung";"Aufstehmelder";"Stürzen; Sich verlaufen";"";"1023";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"Philips HUE Motion Sensor";"Signify Holding";"Mit dem batteriebetriebenen Philips Hue Bewegungsmelder werden intelligente Leuchten durch Bewegung aktiviert und können flexibel im ganzen Haus platziert werden.";"1-50 €";"Nein";"";"Online-Shops; Elektrofachgeschäfte; Baumärkte";"2025-05-22";"Alexa; Google Assistant; Apple Homekit; Microsoft Cortana";"Nicht ermittelbar";"Akku, aufladbar";"Einfach umrüstbar";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1025";"Hardware + Software";"Nein";"WLAN";"";"Aktiv"
"Bosch Bewegungsmelder";"Robert Bosch Smart Home GmbH";"Der intelligente Bewegungsmelder erfasst Innenräume lückenlos. Als Teil des Alarmsystems meldet er unerwünschte Bewegungen beim Verlassen des Hauses. Er löst zuverlässig Alarm aus und informiert per App. Zu Hause steuert er automatisch das Licht.";"51-100 €";"Nein";"";"Online-Shops; Baumärkte";"2025-05-22";"Alexa";"Ja";"Batterien";"Einfach umrüstbar";"Nein";"Stürzen; Sich verlaufen";"Sieht Hindernisse nicht gut; Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Lichtsteuerung; Weglaufschutz";"Stürzen; Sich verlaufen";"";"1026";"Hardware + Software";"Ja";"Herstellergebunden";"";"Aktiv"
"Homematic IP Durchgangssensor mit Richtungserkennung";"eQ-3 AG";"Der innovative Durchgangssensor erkennt Personen, deren Laufrichtung und Anzahl im Türrahmen oder im Treppenhaus. Das Licht schaltet sich automatisch ein, auch wenn alle Hände voll zu tun haben. Unauffällig montiert, schaltet der Sensor das Licht präzise nur dann ein, wenn sich Personen im Erfassungsbereich befinden. Erfordert die Homematic-ip Smart-Home-Zentrale-ccu3.";"51-100 €";"Nein";"";"Online-Shops; Baumärkte";"2025-05-23";"";"Ja";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen; Sich verlaufen";"Sieht Hindernisse nicht gut; Findet nicht zurück nach Hause; Verlässt unbemerkt die Wohnung";"Lichtsteuerung; Weglaufschutz";"Stürzen; Sich verlaufen";"";"1027";"Hardware + Software";"Ja";"Herstellergebunden";"";"Aktiv"
"Smart+ ZB Plug EU";"LEDVANCE GmbH";"Der SMART+ Plug ist eine intelligente ZigBee-Steckdose für elektrische Geräte im Smart Home (z.B. Lampen). Einfache Installation, Steuerung über Smart-Home-System, Geräteknopf oder Sprachassistent. Zeitpläne einstellbar, erfordert kompatibles Smart-Home-System mit Gateway und App. ZigBee 3.0 Protokoll.";"1-50 €";"Nein";"";"Online-Shops; Elektrofachgeschäfte";"2025-05-23";"Alexa; Google Assistant; Philips Hue";"Ja";"Netzbetrieb";"Einfach umrüstbar";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung,Smart Home / Assistenzsystem";"Stürzen";"";"1028";"Hardware + Software";"Ja";"Zigbee";"";"Aktiv"
"Philips HUE SmartPlug";"Signify Holding";"Mit diesem kleinen, unauffälligen Zubehör lässt sich jede Leuchte in ein intelligentes Licht verwandeln, auch wenn keine Hue Lampe in die Leuchte passt. Die Steuerung erfolgt über die Hue App oder per Sprachbefehl. Man kann das Licht sofort über Bluetooth nutzen oder die Lampen mit der Hue Bridge verbinden, um weitere Funktionen zu aktivieren.";"1-50 €";"Nein";"";"Online-Shops; Elektrofachgeschäfte; Baumärkte";"2025-05-23";"Alexa; Google Assistant; HomeKit";"Ja";"Autark";"Einfach umrüstbar";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1029";"Hardware + Software";"Ja";"Zigbee";"";"Aktiv"
"Friends of Hue Lichtschalter Gira";"Senic GmbH";"Der Friends of Hue-Schalter steuert bis zu 50 Philips Hue-Lampen ohne Batterien oder Kabel. Die App ermöglicht einfache Einstellungen und Raumzuordnungen. Mit der Philips Hue Bridge (v2) ist er HomeKit-kompatibel und funktioniert mit Geräten wie Sonos, HomePod, Steckdosen und Rasensprengern. Bevorzugte Szenarien können per Knopfdruck aktiviert werden.";"51-100 €";"Nein";"";"Online-Shops";"2025-05-23";"Alexa; Google Assistant; HomeKit";"Ja";"Autark";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1030";"Hardware + Software";"Ja";"Zigbee";"";"Aktiv"
"Friends of Hue Lichtschalter";"Busch-Jaeger Elektro GmbH";"Die Freiheit der Lichtsteuerung neu erleben. Intelligenter Lichtschalter für Philips Hue Lampen: Schalten und Dimmen. Erfordert Philips Hue Bridge v2 und App v3.2+. Abruf von individuellen Lichtszenen. Steuert bis zu 50 Lampen/25 Friends of Hue Schalter. Zuverlässige Zigbee Mesh Technologie. Batterielos, weltweit einsetzbar, 2,4 GHz.";"51-100 €";"Nein";"";"Online-Shops";"2025-05-23";"Alexa; Google Assistant; HomeKit";"Ja";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung";"Stürzen";"";"1031";"Hardware + Software";"Ja";"Zigbee";"";"Aktiv"
"Tapo L510E";"TP-Link Corporation Limited";"Tapo L510E: Intelligente dimmbare E27 Glühlampe. Individuelle Helligkeit. Presets für einfache Einstellung. Zeitplan für Ein-/Ausschalten. Sonnenauf-/untergangsmodus für natürliche Beleuchtung. Sprachsteuerung über Alexa/Google Assistant. Fernzugriff über Tapo App.";"1-50 €";"Nein";"";"Online-Shops";"2025-05-23";"Alexa; Google Assistant";"Ja";"Autark";"Einfach umrüstbar";"Nein";"Stürzen";"Sieht Hindernisse nicht gut";"Lichtsteuerung,Smart Home / Assistenzsystem";"Stürzen";"";"1032";"Nur Hardware";"Ja";"WLAN";"";"Aktiv"
"Shelly BLU Motion ";"Shelly";"Ein fortschrittlicher Bewegungssensor der nächsten Generation. Die Batterielaufzeit liegt bei mehreren Jahren und durch die Unterstützung verschiedener Protokolle kann er mit anderen Hausautomationssystemen kombiniert werden.";"1-50 €";"";"";"Online-Shops";"2025-05-23";"Alexa; Google Home; Homekit";"Ja";"Batterien";"Einfach umrüstbar";"Nein";"Stürzen; Sich verlaufen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen; Sich verlaufen";"";"1033";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"ALLROUND Finder 4G";"PAJ UG";"Der vielseitige Allround Finder 4G von PAJ ist ein flexibler GPS-Sender, der in verschiedenen Situationen eingesetzt werden kann. Die Verwendung erfordert ein Abonnement.";"1-50 €";"Ja";"";"Online-Shops";"2025-05-23";"";"Ja";"Akku, aufladbar";"Wearables";"Ja";"Stürzen; Sich verlaufen";"Findet nicht zurück nach Hause; Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Ortungssystem";"Stürzen; Sich verlaufen";"";"1034";"Hardware + Software";"Ja";"GMS/LTE (SIM-Karte)";"";"Aktiv"
"Otiom";"Otiom A/S";"Otiom, ein intelligentes Ortungsgerät aus Dänemark, hilft Menschen mit Demenz wiederzufinden, wenn sie die Wohnung verlassen. Es überwacht nicht ständig, sondern aktiviert sich beim Verlassen eines vordefinierten Bereichs. Die Batterie hält einen Monat. Otiom wurde in enger Zusammenarbeit mit Angehörigen, Pflegekräften und Menschen mit Demenz entwickelt. ";"301-500 €";"Nein";"";"Seniorentechnik-Martin / Syscon-Martin Healthcare GmbH";"2025-05-23";"";"Ja";"Akku, aufladbar";"Wearables";"Nein";"Stürzen; Sich verlaufen";"Findet nicht zurück nach Hause; Findet nicht zurück nach Hause; Verlässt unbemerkt die Wohnung";"Ortungssystem; Weglaufschutz";"Stürzen; Sich verlaufen";"";"1035";"Hardware + Software";"Ja";"GMS/LTE (SIM-Karte)";"";"Aktiv"
"Apple Watch SE";"Apple Inc.";"Die Apple Watch SE (2022) bietet mit Ausnahme der Sensoren für EKG und Blutsauerstoffsättigung nahezu identische Funktionen wie die neuesten Apple Watches der 8. Generation. Sie profitiert von watchOS 9 mit Schlafphasenanalyse. Durch den Verzicht auf ein Always-on""-Display ist die Akkulaufzeit besser. Bei einem schweren Sturz schlägt die Watch Alarm und ermöglicht die Ortung.";"101-300 €";"";"";"Online-Shops; Elektrofachgeschäfte";"2025-05-23";"Apple Homekit";"Ja";"Akku, aufladbar";"Wearables";"Nein";"Vergesslichkeit,Stürzen; Sich verlaufen,Flüssigkeitsmangel";"Findet nicht zurück nach Hause; Findet nicht zurück nach Hause; Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Mangelnder Antrieb zu trinken";"Ortungssystem; Sturzmelder";"Vergesslichkeit,Stürzen; Sich verlaufen,Flüssigkeitsmangel";"";"1037";"Hardware + Software";"Ja";"WLAN; GMS/LTE (SIM-Karte); Bluetooth";"";"Aktiv"
"Apple Watch Ultra 2";"Apple Inc.";"Die neueste Apple Watch setzt Maßstäbe in Robustheit und Leistung. Das widerstandsfähige Titan-Gehäuse besticht im präzisen Dual-Frequenz GPS. Mit einer Akkulaufzeit von bis zu 36 Std. und drei spezialisierten Armbändern für Sport und Abenteuer ist sie bereit für jede Herausforderung. Sturz- und Unfallerkennung, Sirene sowie Wasserdichtigkeit sind weitere beeindruckende Eigenschaften.";"über 500 €";"";"";"Online-Shops; Elektrofachgeschäfte";"2025-05-23";"Apple Homekit";"Ja";"Akku, aufladbar";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel,Stürzen; Sich verlaufen";"Schwindelig, weil zu wenig getrunken,Findet nicht zurück nach Hause; Nach Sturz um Hilfe rufen; Findet nicht zurück nach Hause,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Mangelnder Antrieb zu trinken";"Trinkerinnerung,Kommunikationsmittel,Ortungssystem; Sturzmelder,Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel,Stürzen; Sich verlaufen";"";"1038";"Hardware + Software";"Ja";"WLAN; GMS/LTE (SIM-Karte); Bluetooth";"";"Aktiv"
"Google Pixel Watch 2";"Google";"Die runde Uhr hat einen Durchmesser von 41 mm und ist mit einem Dual-Core-Prozessor mit 2 GB RAM ausgestattet. Der Speicher beträgt 32 GB. Zur Ausstattung gehören ein Sauerstoffsättigungsmesser, ein optischer Herzfrequenzsensor und Navigationsdienste. WLAN b/g/n, Bluetooth 5.0, NFC sowie UMTS und LTE (in der mobilen Version) sind verfügbar. Die Uhr erkennt Stürze und kann den Standort übermitteln.";"101-300 €";"";"";"Online-Shops; Elektrofachgeschäfte";"2025-05-23";"Google Home";"Ja";"Akku, aufladbar";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel,Stürzen; Sich verlaufen";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Findet nicht zurück nach Hause; Nach Sturz um Hilfe rufen; Findet nicht zurück nach Hause,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Mangelnder Antrieb zu trinken";"Ortungssystem; Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel,Stürzen; Sich verlaufen";"";"1040";"Hardware + Software";"Ja";"Ethernet; Bluetooth; GMS/LTE (SIM-Karte)";"";"Aktiv"
